id,g1q00001,g1q00001_other,g1q00002,g1q00003,g1q00004,g1q00004_other,g1q00005,g1q00006_sq002,g1q00006_sq003,g1q00006_sq004,g1q00006_sq005,g2q00001_sq001,g2q00001_sq002,g2q00002,g2q00003_sq001,g2q00003_sq002,g2q00004_sq002,g2q00004_sq003,g2q00004_sq004,g2q00004_sq005,g2q00004_sq006,g2q00004_sq007,g2q00004_sq008,g2q00004_sq009,g2q00004_sq010,g2q00004_sq011,g2q00004_sq012,g2q00004_sq013,g2q00004_sq014,g2q00004_other,g2q00005,g2q00007,g2q00006,g2q00008,g3q00001,g3q00002_sq001,g3q00002_sq002,g3q00002_sq003,g3q00002_sq004,g3q00002_other,g3q00003,g3q00004,g3q00005_sq001,g3q00005_sq002,g3q00005_sq003,g3q00005_sq004,g3q00005_other,g3q00006,g3q00007,g3q00007_other,g3q00008_sq001,g3q00008_sq002,g3q00008_sq003,g3q00009_sq001,g3q00009_sq002,g3q00009_sq003,g3q00009_sq004,g3q00009_sq005,g3q00009_sq006,g3q00009_sq007,g4q00001_sq001,g4q00001_sq002,g4q00001_sq003,g4q00001_sq004,g4q00002,g4q00003_sq001,g4q00003_sq002,g4q00004_sq001,g4q00004_sq002,g4q00004_sq003,g4q00005_sq001,g4q00005_sq002,g4q00005_sq003,g4q00006_sq001,g4q00006_sq002,g4q00006_sq003,g4q00008_sq001,g4q00008_sq002,g4q00008_sq003,g4q00007_sq001,g4q00007_sq002,g4q00007_sq003,g4q00009,age_group,ati_group,user_group
30,Female,"",19,Deutschland,Abitur / Matura,"",Arbeitslos ,2,3,1,3,Neutral,Strongly disagree,Never,Rather disagree,Neutral,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,"",I wouldn�t know how to do it,"","","",Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",2-5 per day,"",Neutral,Rather agree,Strongly agree,Neutral,Neutral,Important,Important,Neutral,Important,Very important,Rather agree,Rather agree,Rather agree,Strongly disagree,,Neutral,Rather agree,Strongly disagree,Rather agree,Rather agree,Rather disagree,Neutral,Rather agree,Strongly disagree,Strongly disagree,Rather agree,Neutral,Rather agree,Neutral,Strongly disagree,Neutral,Rather disagree,Keine,< 25,low,non-user
31,Male,"",19,Deutschland,Abitur / Matura,"",Student,6,6,3,5,Strongly agree,Rather disagree,Sometimes,Strongly agree,Rather agree,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,"",Yes,"Bei manchen Apps kann man nicht einstellen, welche Benachrichtigungen man erhalten möchte, und welche nicht ",Man wird an wichtige Dinge erinnert,"Apps anpassen, sodass man mehr Freiheiten hat, seine Banchrichtigungen anzupassen",Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per day,"",Rather agree,Rather agree,Neutral,Very important,Unimportant,Important,Unimportant,Very important,Unimportant,Very important,Strongly agree,Strongly agree,Strongly agree,Rather agree,,Rather disagree,Rather agree,Rather disagree,Rather agree,Strongly agree,Rather disagree,Rather agree,Strongly agree,Strongly agree,Rather disagree,Strongly agree,Rather agree,Rather disagree,Rather disagree,Neutral,Rather agree,Rather disagree,"Keine, ein Anpassen nach der Art der Benachrichtigungen ist voll ausreichend aber sehr wichtig ",< 25,high,non-user
32,Male,"",75,Deutschland,Master,"",Berater,4,4,1,3,Neutral,Neutral,Sometimes,Neutral,Neutral,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,"",I am not aware of the option,zu oft wiederholen,wenn es nur auf meiner Aktivität kommt,nicht laufend erscheinen,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per week,"",Neutral,Neutral,Neutral,Unimportant,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Rather agree,Rather agree,Neutral,Neutral,,Rather agree,Rather agree,Rather agree,Neutral,Rather agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,keine,> 60,low,non-user
33,Female,"",27,Deutschland,Abitur / Matura,"",Labor technische Assistentin,4,4,4,3,Neutral,Rather agree,Sometimes,Rather disagree,Rather agree,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,"",Yes,man bekommt oft unnötige push nachrichten die man unter sich in den apps nicht weiter filtern kann,man ist sofort informiert bei wichtigen dingen,mehr filter einstellungen pro app ,Ja,Ja,Ja,Nein,Nein,"",Ja,Ja,Ja,Nein,Nein,Nein,,"",One per day,"",Rather agree,Strongly agree,Rather disagree,Unimportant,Neutral,Very unimportant,Neutral,Important,Very important,Very important,Strongly agree,Rather disagree,Strongly agree,Strongly agree,,Rather disagree,Strongly agree,Neutral,Rather agree,Neutral,Neutral,Neutral,Rather agree,Rather agree,Rather disagree,Strongly agree,Rather disagree,Rather agree,Rather disagree,Neutral,Neutral,Rather disagree,"Der Filter nach Art gefällt mir am besten, mehr als das fällt mir nicht ein ",25 - 60,middle,user
35,Male,"",36,Deutschland,Master,"",Alles ,5,5,2,1,Rather agree,Rather disagree,Always,Rather agree,Neutral,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,"",Yes,Ni hts,Alles klar ,Alles klar und danke für die Info ,Ja,Ja,Nein,Ja,Nein,"",Ja,Ja,Nein,Ja,Ja,Nein,,"",One per day,"",Rather disagree,Rather disagree,Neutral,Unimportant,Neutral,Neutral,Neutral,Important,Unimportant,Neutral,Neutral,Neutral,Neutral,Neutral,,Rather agree,Rather agree,Rather disagree,Neutral,Strongly disagree,Rather disagree,Neutral,Neutral,Rather disagree,Neutral,Rather disagree,Neutral,Neutral,Neutral,Rather disagree,Rather agree,Rather agree,Alles klar und danke für die Info und ,25 - 60,middle,user
36,Male,"",30,Deutschland,Bachelor,"",Bioverfahrenstechnik,2,2,1,2,Neutral,Rather agree,Sometimes,Rather agree,Rather agree,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,"",Yes,Das ich nicht kontrollieren kann wo welche apps was anzeigen. Habe ich die App noch wo genau kann ich alles kontrollieren,Wenn die Nachricht gut ist,Einfach bei der App sagen wann was kommt und den algorithmus für mich kontrolieren,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Rather agree,Strongly agree,Rather agree,Important,Very unimportant,Important,Neutral,Neutral,Unimportant,Neutral,Strongly agree,Rather agree,Neutral,Rather agree,,Rather agree,Strongly agree,Rather agree,Rather disagree,Rather agree,Neutral,Rather disagree,Neutral,Rather agree,Neutral,Rather agree,Rather agree,Neutral,Neutral,Neutral,Neutral,Neutral,Option D und C gefallen mir am besten weil ich die meiste Kontrolle habe und trotzdem mit der App interagieren kann,25 - 60,low,non-user
38,Female,"",23,Deutschland,Bachelor,"",Medizinstudium,2,4,2,3,Rather agree,Neutral,Sometimes,Rather agree,Strongly agree,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,"",Yes,Zu häufige/irrelevante Benachrichtigungen,"""""Wichtige"""" Benachrichtigungen, v.a. über akute Ereignisse und Nachrichten",Nichts konkretes,Ja,Ja,Nein,Nein,Nein,"",Nein,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Rather agree,Strongly agree,Rather disagree,Important,Very unimportant,Unimportant,Neutral,Important,Very unimportant,Important,Rather agree,Rather disagree,Strongly agree,Rather agree,,Strongly agree,Neutral,Strongly agree,Rather disagree,Rather agree,Rather agree,Rather disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Rather disagree,Rather agree,Rather agree,Rather disagree,Neutral,Keine weiteren,< 25,low,user
39,Female,"",44,Deutschland,Lehre / Fachschule,"",erwerbsminderungsrentner,1,1,2,1,Neutral,Neutral,Sometimes,Strongly agree,Strongly agree,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,wenn es unwichtige sachen sind und man ständig die benachrichtigungen löschen muss,bei privatem ausstausch oder eben für einen wichtige dinge,abschalten :-),Ja,Ja,Nein,Nein,Nein,"",Nein,N/A,N/A,N/A,N/A,N/A,,"",Depends on the app,nur wenn man es erlaubt,Rather agree,Strongly agree,Rather disagree,Neutral,Unimportant,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,keine,25 - 60,low,user
40,Male,"",51,Deutschland,Lehre / Fachschule,"",Masseur und Med. Bademeister,5,5,3,3,Strongly disagree,Strongly agree,Never,Rather agree,Rather agree,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",No,werbung,Wetter,keine Ahnung,Ja,Nein,Nein,Ja,Nein,"",Ja,Ja,Nein,Nein,Ja,Nein,,"",Less than one per week,"",Rather agree,Rather disagree,Rather disagree,Unimportant,Unimportant,Important,Neutral,Important,Neutral,Important,Rather agree,Rather agree,Rather agree,Rather agree,,Rather agree,Strongly disagree,Rather agree,Strongly disagree,Neutral,Rather agree,Rather agree,Neutral,Strongly agree,Strongly disagree,Rather agree,Neutral,Strongly agree,Strongly disagree,Rather agree,Strongly disagree,Neutral,"keine , nicht wichtig",25 - 60,middle,user
41,Female,"",65,Deutschland,Lehre / Fachschule,"",Pharmareferentin,2,2,3,3,Rather disagree,Rather agree,Sometimes,Rather disagree,Rather disagree,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,"",I wouldn�t know how to do it,"","","",Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Rather agree,Rather agree,Rather agree,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Rather agree,Rather agree,Rather agree,Rather agree,,Rather agree,Rather agree,Neutral,Neutral,Neutral,Rather disagree,Rather disagree,Rather disagree,Neutral,Neutral,Neutral,Rather disagree,Rather disagree,Rather disagree,Rather agree,Neutral,Rather agree,Keine,> 60,low,non-user
42,Female,"",25,Deutschland,Master,"",Designerin,4,4,3,3,Neutral,Neutral,Sometimes,Neutral,Neutral,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,"",Yes,"k.a,","k.a,","k.a,",Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per day,"",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,k.a.,25 - 60,middle,non-user
44,Female,"",72,Deutschland,Lehre / Fachschule,"",Rentnerin ,6,5,5,5,Neutral,Neutral,Sometimes,Strongly agree,Strongly agree,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,"",Yes,Werbung,Aktuelle Nachhrichten,Ich kann selbst einstellen welche Benachrichtigungen ich haben will.,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Rather agree,Strongly agree,Strongly agree,Important,Very unimportant,Neutral,Unimportant,Unimportant,Unimportant,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Rather agree,Strongly agree,Rather agree,Rather disagree,Strongly agree,Rather disagree,Rather agree,Strongly agree,Rather disagree,Rather agree,Strongly disagree,Rather agree,Strongly disagree,Strongly disagree,Rather agree,Rather disagree,Detaillierte Information über die Art der Benachrichtigung.,> 60,high,non-user
45,Female,"",48,Deutschland,Bachelor,"",Einkäufer,4,4,3,3,Rather disagree,Rather agree,Sometimes,Rather disagree,Rather disagree,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,"",Yes,Während ich andere Applikationen nutze oder telefonieren.,"Erinnerungen an Sachen, die ich sonst vergessen hätte.","",Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Strongly agree,Strongly agree,Strongly agree,Neutral,Unimportant,Unimportant,Unimportant,Important,Very unimportant,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Rather disagree,Rather disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Rather disagree,Rather disagree,Rather disagree,Rather disagree,Rather disagree,Rather disagree,Ausschaltemöglichkeit,25 - 60,middle,non-user
46,Female,"",46,Deutschland,Doktorat,"",Diplom-Dolmetscher ,5,4,4,3,Rather disagree,Rather agree,Sometimes,Neutral,Neutral,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,Wenn viele Benachrichtigungen eintreffen.,SMS nützlich,Keine Inhalte anzeigen ,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Strongly agree,Strongly agree,Strongly agree,Very unimportant,Very unimportant,Very unimportant,Neutral,Very unimportant,Very unimportant,Very unimportant,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Rather agree,Rather agree,Rather agree,Rather agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,"Ich weiß nicht. Ich würde mir wünschen, daß mehr Anonymität herrscht.",25 - 60,middle,non-user
47,Male,"",67,Deutschland,Sonstiges,Diplom,Rentner ,4,4,3,2,Rather disagree,Strongly agree,Sometimes,Strongly disagree,Strongly disagree,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,"",No,Diese Benachrichtigungen nerven meist und ich brauche sie nicht.,Keine ,weglassen ,Ja,Ja,Nein,Nein,Nein,"",Ja,Ja,Nein,Nein,Ja,Nein,,"",One per week,"",Rather agree,Neutral,Rather disagree,Very unimportant,Very unimportant,Neutral,Neutral,Very unimportant,Very unimportant,Very unimportant,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Rather disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,A,> 60,middle,user
49,Female,"",61,Deutschland,Lehre / Fachschule,"",angestellte,4,4,4,3,Neutral,Neutral,Sometimes,Rather agree,Rather agree,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,"",No,werbung,keineweis nicht,weis nicht,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Strongly agree,Strongly agree,Strongly agree,Very unimportant,Very unimportant,Neutral,Neutral,Neutral,Neutral,Neutral,Rather agree,Rather agree,Strongly agree,Strongly agree,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,keine,> 60,middle,non-user
50,Female,"",65,Deutschland,Lehre / Fachschule,"",Lerncoach ,5,5,5,5,Neutral,Neutral,Sometimes,Strongly agree,Strongly agree,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,"",No,"Das kann ich nicht beurteilen, da ich glücklicherweise nicht viele habe ",Wie vor,Wie vor ,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Strongly agree,Strongly agree,Strongly agree,Very unimportant,Neutral,Neutral,Neutral,Neutral,Neutral,Very unimportant,Neutral,Neutral,Neutral,Neutral,,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Keine ,> 60,high,non-user
51,Male,"",56,Deutschland,Master,"",Technischer Redakteur ,5,5,5,5,Neutral,Neutral,Sometimes,Rather agree,Rather agree,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,"",Yes,Zu undifferenziert ,Dass die Möglichkeit grundsätzlich besteht,Bessere filter,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Neutral,Neutral,Neutral,Very unimportant,Very unimportant,Neutral,Neutral,Neutral,Unimportant,Neutral,Rather agree,Rather agree,Rather agree,Rather agree,,Rather agree,Neutral,Neutral,Neutral,Rather agree,Rather agree,Neutral,Rather agree,Rather agree,Neutral,Rather agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Alles gut,25 - 60,high,non-user
